,symbol,priceChangePercent,openPrice,highPrice,lowPrice,count
0,ETHBTC,-1.340,0.05523000,0.05540000,0.05434000,50277
1,LTCBTC,-2.191,0.00178000,0.00180200,0.00173000,11395
2,BNBBTC,2.297,0.00735600,0.00762700,0.00731000,51877
3,NEOBTC,-1.073,0.00032630,0.00033450,0.00032130,5856
4,QTUMETH,3.481,0.00146500,0.00153800,0.00144700,197
5,EOSETH,1.137,0.00036950,0.00038140,0.00036500,446
6,SNTETH,4.450,0.00001910,0.00002105,0.00001880,492
7,BNTETH,-2.388,0.00033080,0.00033360,0.00032250,83
8,BCCBTC,0.000,0.00000000,0.00000000,0.00000000,0
9,GASBTC,-1.290,0.00016280,0.00016600,0.00016020,6043
10,BNBETH,3.679,0.13320000,0.13950000,0.13280000,11549
11,BTCUSDT,-1.857,42998.60000000,43043.20000000,41300.00000000,1280826
12,ETHUSDT,-3.192,2375.05000000,2383.20000000,2255.34000000,791646
13,HSRBTC,0.000,0.00000000,0.00000000,0.00000000,0
14,OAXETH,0.000,0.00000000,0.00000000,0.00000000,0
15,DNTETH,0.000,0.00000000,0.00000000,0.00000000,0
16,MCOETH,0.000,0.00000000,0.00000000,0.00000000,0
17,ICNETH,0.000,0.00000000,0.00000000,0.00000000,0
18,MCOBTC,0.000,0.00000000,0.00000000,0.00000000,0
19,WTCBTC,0.000,0.00000000,0.00000000,0.00000000,0
20,WTCETH,0.000,0.00000000,0.00000000,0.00000000,0
21,LRCBTC,-5.419,0.00000812,0.00000830,0.00000740,5816
22,LRCETH,-4.592,0.00014742,0.00015149,0.00013570,1344
23,QTUMBTC,1.355,0.00008120,0.00008380,0.00007940,3621
24,YOYOBTC,0.000,0.00000000,0.00000000,0.00000000,0
25,OMGBTC,0.000,0.00000000,0.00000000,0.00000000,0
26,OMGETH,0.000,0.00000000,0.00000000,0.00000000,0
27,ZRXBTC,-2.497,0.00000881,0.00000883,0.00000850,694
28,ZRXETH,0.000,0.00000000,0.00000000,0.00000000,0
29,STRATBTC,0.000,0.00000000,0.00000000,0.00000000,0
30,STRATETH,0.000,0.00000000,0.00000000,0.00000000,0
31,SNGLSBTC,0.000,0.00000000,0.00000000,0.00000000,0
32,SNGLSETH,0.000,0.00000000,0.00000000,0.00000000,0
33,BQXBTC,0.000,0.00000000,0.00000000,0.00000000,0
34,BQXETH,0.000,0.00000000,0.00000000,0.00000000,0
35,KNCBTC,-2.720,0.00001728,0.00001730,0.00001673,2369
36,KNCETH,0.000,0.00000000,0.00000000,0.00000000,0
37,FUNBTC,0.000,0.00000000,0.00000000,0.00000000,0
38,FUNETH,-0.685,0.00000292,0.00000299,0.00000288,310
39,SNMBTC,0.000,0.00000000,0.00000000,0.00000000,0
40,SNMETH,0.000,0.00000000,0.00000000,0.00000000,0
41,NEOETH,0.337,0.00592700,0.00613200,0.00585500,169
42,IOTABTC,3.883,0.00000721,0.00000781,0.00000694,6102
43,IOTAETH,4.577,0.00013110,0.00014240,0.00012690,451
44,LINKBTC,-2.501,0.00037180,0.00037640,0.00036030,14281
45,LINKETH,-1.393,0.00674600,0.00679800,0.00660800,2901
46,XVGBTC,0.000,0.00000000,0.00000000,0.00000000,0
47,XVGETH,-6.627,0.00000166,0.00000167,0.00000155,347
48,SALTBTC,0.000,0.00000000,0.00000000,0.00000000,0
49,SALTETH,0.000,0.00000000,0.00000000,0.00000000,0
50,MDABTC,0.000,0.00000000,0.00000000,0.00000000,0
51,MDAETH,0.000,0.00000000,0.00000000,0.00000000,0
52,MTLBTC,-1.955,0.00003837,0.00003858,0.00003760,152
53,MTLETH,0.000,0.00000000,0.00000000,0.00000000,0
54,SUBBTC,0.000,0.00000000,0.00000000,0.00000000,0
55,SUBETH,0.000,0.00000000,0.00000000,0.00000000,0
56,EOSBTC,0.000,0.00002040,0.00002085,0.00001999,4659
57,SNTBTC,4.808,0.00000104,0.00000116,0.00000103,2883
58,ETCETH,0.204,0.00979000,0.01010000,0.00963000,1344
59,ETCBTC,-1.661,0.00054200,0.00055400,0.00052600,5163
60,MTHBTC,0.000,0.00000000,0.00000000,0.00000000,0
61,MTHETH,0.000,0.00000000,0.00000000,0.00000000,0
62,ENGBTC,0.000,0.00000000,0.00000000,0.00000000,0
63,ENGETH,0.000,0.00000000,0.00000000,0.00000000,0
64,DNTBTC,0.000,0.00000000,0.00000000,0.00000000,0
65,ZECBTC,-0.885,0.00067800,0.00069200,0.00066900,2677
66,ZECETH,1.142,0.01226000,0.01263000,0.01224000,351
67,BNTBTC,-2.758,0.00001813,0.00001821,0.00001754,522
68,ASTBTC,-2.288,0.00000306,0.00000308,0.00000297,842
69,ASTETH,0.000,0.00000000,0.00000000,0.00000000,0
70,DASHBTC,-2.509,0.00079700,0.00080000,0.00076300,5794
71,DASHETH,-0.968,0.01446000,0.01455000,0.01395000,492
72,OAXBTC,-0.232,0.00000431,0.00000436,0.00000416,647
73,ICNBTC,0.000,0.00000000,0.00000000,0.00000000,0
74,BTGBTC,0.000,0.00000000,0.00000000,0.00000000,0
75,BTGETH,0.000,0.00000000,0.00000000,0.00000000,0
76,EVXBTC,0.000,0.00000000,0.00000000,0.00000000,0
77,EVXETH,0.000,0.00000000,0.00000000,0.00000000,0
78,REQBTC,-3.404,0.00000235,0.00000235,0.00000225,1430
79,REQETH,0.000,0.00000000,0.00000000,0.00000000,0
80,VIBBTC,-0.585,0.00000171,0.00000173,0.00000168,312
